State,State_Abbreviation,Unemployment_rate_2018
United States,US,3.9
Alabama,AL,3.9
Alaska,AK,6.0
Arizona,AZ,4.8
Arkansas,AR,3.7
California,CA,4.2
Colorado,CO,3.0
Connecticut,CT,3.9
Delaware,DE,3.7
District of Columbia,DC,5.7
Florida,FL,3.6
Georgia,GA,4.0
Hawaii,HI,2.4
Idaho,ID,2.9
Illinois,IL,4.4
Indiana,IN,3.4
Iowa,IA,2.6
Kansas,KS,3.4
Kentucky,KY,4.2
Louisiana,LA,4.8
Maine,ME,3.2
Maryland,MD,3.8
Massachusetts,MA,3.5
Michigan,MI,4.2
Minnesota,MN,3.0
Mississippi,MS,4.9
Missouri,MO,3.2
Montana,MT,3.7
Nebraska,NE,2.9
Nevada,NV,4.4
New Hampshire,NH,2.6
New Jersey,NJ,4.0
New Mexico,NM,4.9
New York,NY,4.1
North Carolina,NC,4.0
North Dakota,ND,2.4
Ohio,OH,4.5
Oklahoma,OK,3.3
Oregon,OR,4.0
Pennsylvania,PA,4.4
Rhode Island,RI,4.0
South Carolina,SC,3.4
South Dakota,SD,2.8
Tennessee,TN,3.5
Texas,TX,3.9
Utah,UT,2.9
Vermont,VT,2.5
Virginia,VA,3.0
Washington,WA,4.4
West Virginia,WV,5.1
Wisconsin,WI,3.0
Wyoming,WY,4.1
